# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1605374564.7117977,0,17.3418025970459,0.0,16.13571548461914,1.3025867938995361,-0.09649983793497086,,,,,,,,
1,1605374565.0942953,800,-6.075560569763184,0.0,-6.388099670410156,0.4076725244522095,-0.09513349831104279,,,,,,,,
2,1605374565.4494832,1600,0.1512572169303894,0.0,-0.03577756881713867,0.2820369601249695,-0.095002181828022,,,,,,,,
3,1605374565.7984602,2400,4.879393100738525,0.0,4.775319576263428,0.19816747307777405,-0.09409388899803162,,,,,,,,
4,1605374566.0228693,3200,0.8450552821159363,0.0,0.7769879698753357,0.15969417989253998,-0.09162687510251999,,,,,,,,
5,1605374566.4673548,4000,-6.745116233825684,0.0,-6.7909111976623535,0.1337755024433136,-0.0879809632897377,,,,,,,,
6,1605374566.622872,4800,-1.6883468627929688,0.0,-1.7003381252288818,0.10137298703193665,-0.08938167244195938,,,,,,,,
7,1605374566.8775597,5600,-0.742256760597229,0.0,-0.7659000158309937,0.11147015541791916,-0.0878269225358963,,,,,,,,
8,1605374567.1475444,6400,4.997702121734619,0.0,4.801602840423584,0.2822236716747284,-0.08612436056137085,,,,,,,,
9,1605374567.5715175,7200,-0.7178633213043213,0.0,-0.925571620464325,0.29449182748794556,-0.0867835134267807,,,,,,,,
10,1605374567.8226895,8000,-3.342606544494629,0.0,-3.374546527862549,0.11739227920770645,-0.08545233309268951,,,,,,,,
11,1605374568.0794642,8800,0.6652823686599731,0.0,0.5295613408088684,0.22393164038658142,-0.0882105901837349,,,,,,,,
12,1605374568.3202055,9600,0.7633420825004578,0.0,0.6227186918258667,0.2291680872440338,-0.08854465931653976,,,,,,,,
13,1605374568.822463,10400,-0.81609708070755,0.0,-0.8634188175201416,0.13545110821723938,-0.08812931925058365,,,,,,,,
14,1605374569.001729,11200,-2.0168142318725586,0.0,-1.9318783283233643,0.0043659573420882225,-0.08930179476737976,,,,,,,,
15,1605374569.2631013,12000,1.387595772743225,0.0,1.2717827558517456,0.2048945426940918,-0.0890815332531929,,,,,,,,
16,1605374569.515002,12800,-0.48166003823280334,0.0,-0.7327332496643066,0.3412863612174988,-0.09021314233541489,,,,,,,,
17,1605374570.0032213,13600,-0.5400677919387817,0.0,-0.4536798596382141,0.003659742884337902,-0.0900476947426796,,,,,,,,
18,1605374570.167328,14400,6.424853801727295,0.0,5.731842517852783,0.7832256555557251,-0.09021405130624771,,,,,,,,
19,1605374570.463009,15200,-4.819838523864746,0.0,-4.754521369934082,0.02655947022140026,-0.09187667071819305,,,,,,,,
20,1605374570.807775,16000,1.8998818397521973,0.0,1.7795904874801636,0.2113017588853836,-0.0910104289650917,,,,,,,,
21,1605374571.1154387,16800,-2.119943618774414,0.0,-2.0511679649353027,0.023342061787843704,-0.09211777150630951,,,,,,,,
22,1605374571.2781184,17600,-1.3205174207687378,0.0,-1.230579137802124,0.001767221954651177,-0.09170550853013992,,,,,,,,
23,1605374571.674434,18400,-0.8376153111457825,0.0,-0.7489426136016846,0.0028817523270845413,-0.0915544405579567,,,,,,,,
24,1605374571.880984,19200,-0.6247774362564087,0.0,-0.5345637798309326,0.001292619970627129,-0.09150631725788116,,,,,,,,
25,1605374572.115674,20000,0.04896485060453415,0.0,0.08772788941860199,0.052876558154821396,-0.09163960069417953,,,,,,,,
26,1605374572.3133888,20800,-0.722618043422699,0.0,-0.6324347853660583,0.001096581807360053,-0.09127986431121826,,,,,,,,
27,1605374572.550997,21600,1.5656057596206665,0.0,1.5975978374481201,0.05934992805123329,-0.09134198725223541,,,,,,,,
28,1605374572.8698244,22400,-1.4432404041290283,0.0,-1.357940912246704,0.006818097550421953,-0.09211759269237518,,,,,,,,
29,1605374573.0189445,23200,4.454792022705078,0.0,4.340017318725586,0.2064821720123291,-0.09170746803283691,,,,,,,,
30,1605374573.313187,24000,-4.5733819007873535,0.0,-4.497920989990234,0.018020417541265488,-0.09348137676715851,,,,,,,,
31,1605374573.5132976,24800,5.282848358154297,0.0,4.759770393371582,0.6162837743759155,-0.0932059958577156,,,,,,,,
32,1605374573.8071327,25600,-8.448758125305176,0.0,-8.429754257202148,0.07288824021816254,-0.0918920487165451,,,,,,,,
33,1605374574.0738811,26400,2.3834950923919678,0.0,2.4636640548706055,0.01060756016522646,-0.0907764807343483,,,,,,,,
34,1605374574.2469442,27200,-2.3180761337280273,0.0,-2.232175350189209,0.00582818454131484,-0.09172890335321426,,,,,,,,
35,1605374574.606862,28000,0.9232441186904907,0.0,1.0079600811004639,0.0070946067571640015,-0.09181059896945953,,,,,,,,
36,1605374574.776452,28800,1.7171510457992554,0.0,1.5411360263824463,0.2678450345993042,-0.0918300449848175,,,,,,,,
37,1605374574.9746814,29600,-3.1737117767333984,0.0,-3.0948939323425293,0.01418939046561718,-0.09300722181797028,,,,,,,,
38,1605374575.3563764,30400,2.4281325340270996,0.0,2.511404037475586,0.009616607800126076,-0.09288810193538666,,,,,,,,
