# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1605587626.8214862,0,0.046395063400268555,0.9319999814033508,0.1284475028514862,0.015007780864834785,-0.09706021845340729,,,,,,,,
1,1605587627.1906712,800,-0.2480444610118866,0.0,-0.15581516921520233,0.00483640655875206,-0.09706570208072662,,,,,,,,
2,1605587627.8949332,1600,-0.3979465067386627,0.0,-0.30243274569511414,0.0016221245750784874,-0.09713587164878845,,,,,,,,
3,1605587628.2598295,2400,-0.39030611515045166,0.9083333015441895,-0.308052122592926,0.014830403961241245,-0.0970844179391861,,,,,,,,
4,1605587628.498478,3200,0.8095507025718689,0.919333279132843,0.8876098394393921,0.019006550312042236,-0.09706567227840424,,,,,,,,
5,1605587628.8444715,4000,-1.206396460533142,0.0,-1.1118255853652954,0.0024526449851691723,-0.09702353179454803,,,,,,,,
6,1605587629.614708,4800,2.0254547595977783,0.0,2.09820294380188,0.02421884983778,-0.09696703404188156,,,,,,,,
7,1605587629.7808096,5600,-3.603829860687256,0.0,-3.5191357135772705,0.012296963483095169,-0.09699107706546783,,,,,,,,
8,1605587629.8917823,6400,6.3863301277160645,0.0,6.409073829650879,0.07419820129871368,-0.09694177657365799,,,,,,,,
9,1605587630.4500308,7200,-4.211166858673096,0.0,-4.128326416015625,0.014069358818233013,-0.09691022336483002,,,,,,,,
10,1605587631.0094442,8000,-0.7152029275894165,0.0,-0.6195735931396484,0.0011897999793291092,-0.09681914746761322,,,,,,,,
11,1605587631.2489252,8800,-0.272713303565979,0.0,-0.17718802392482758,0.0012715368065983057,-0.09679679572582245,,,,,,,,
12,1605587631.4443772,9600,2.775707244873047,0.0,2.850250005722046,0.022252868860960007,-0.09679555147886276,,,,,,,,
13,1605587631.9688876,10400,-1.5972322225570679,0.0,-1.5069308280944824,0.006435363553464413,-0.09673680365085602,,,,,,,,
14,1605587632.4863265,11200,1.4834789037704468,0.0,1.565474033355713,0.014701241627335548,-0.0966963842511177,,,,,,,,
15,1605587632.9689708,12000,-1.0091216564178467,0.0,-0.9175267219543457,0.004954528529196978,-0.09654948860406876,,,,,,,,
16,1605587633.2481353,12800,0.6847996711730957,0.0,0.7726205587387085,0.008681166917085648,-0.09650206565856934,,,,,,,,
17,1605587633.716139,13600,-1.6709144115447998,0.0,-1.5814000368118286,0.0069628506898880005,-0.09647725522518158,,,,,,,,
18,1605587634.0261195,14400,-0.09577082842588425,0.0,-0.003666982054710388,0.004300551023334265,-0.09640439599752426,,,,,,,,
19,1605587634.2452486,15200,1.3144192695617676,0.0,1.3990002870559692,0.011775542050600052,-0.09635646641254425,,,,,,,,
20,1605587634.4003212,16000,-2.4333837032318115,0.0,-2.342237949371338,0.0051852380856871605,-0.0963309034705162,,,,,,,,
21,1605587634.7869973,16800,0.2634579539299011,0.0,0.3590558171272278,0.0005673072300851345,-0.09616518020629883,,,,,,,,
22,1605587635.1670985,17600,0.5458163619041443,0.0,0.6354680061340332,0.006537687499076128,-0.09618932753801346,,,,,,,,
23,1605587635.6088629,18400,1.254582166671753,0.0,1.3384790420532227,0.01232453715056181,-0.0962214544415474,,,,,,,,
24,1605587635.7948387,19200,-3.104337453842163,0.0,-3.017666816711426,0.009479382075369358,-0.0961499810218811,,,,,,,,
25,1605587636.0215967,20000,0.8555006980895996,0.0,0.9497363567352295,0.0019301963038742542,-0.09616585820913315,,,,,,,,
26,1605587636.2989097,20800,0.3161442279815674,0.0,0.40371984243392944,0.008567087352275848,-0.0961427092552185,,,,,,,,
27,1605587636.4848404,21600,-1.844933032989502,0.0,-1.756454348564148,0.007634940091520548,-0.0961136594414711,,,,,,,,
28,1605587636.7106102,22400,0.8847994208335876,0.0,0.9794793128967285,0.0013878752943128347,-0.09606780111789703,,,,,,,,
29,1605587636.9700208,23200,0.4185998737812042,0.0,0.49271947145462036,0.022057345137000084,-0.09617695212364197,,,,,,,,
30,1605587637.4422815,24000,1.432911992073059,0.0,1.5109094381332397,0.01816900260746479,-0.09616652131080627,0.47599998116493225,0.04110733047127724,-0.038912367075681686,5.480282925418578e-05,0.11382222920656204,230.5066680908203,0.14764446020126343,7.0
31,1605587637.6993577,24800,-2.7639670372009277,0.0,-2.6798923015594482,0.012059653177857399,-0.09613443166017532,,,,,,,,
32,1605587637.942322,25600,4.552377700805664,0.0,4.602718353271484,0.04570910334587097,-0.09604962170124054,,,,,,,,
33,1605587638.165845,26400,-5.135617733001709,0.0,-5.064157485961914,0.024677515029907227,-0.09613731503486633,,,,,,,,
34,1605587638.4231079,27200,4.58115816116333,0.0,4.627358913421631,0.049839846789836884,-0.09604077786207199,,,,,,,,
35,1605587638.696318,28000,-3.2427399158477783,0.0,-3.1590874195098877,0.012297293171286583,-0.09594991058111191,,,,,,,,
36,1605587638.9163036,28800,0.7765901684761047,0.0,0.8658161163330078,0.006727473810315132,-0.09595339745283127,,,,,,,,
37,1605587639.1988223,29600,-1.6487280130386353,0.0,-1.5576961040496826,0.005038066767156124,-0.09606990963220596,,,,,,,,
38,1605587639.846164,30400,0.6665363311767578,0.0,0.7575348615646362,0.004991236608475447,-0.09598974138498306,,,,,,,,
39,1605587640.1157358,31200,-0.7446630001068115,0.0,-0.6516801118850708,0.003101686481386423,-0.09608462452888489,,,,,,,,
40,1605587640.1759784,32000,0.35646823048591614,0.0,0.4487118124961853,0.0038645961321890354,-0.09610816091299057,,,,,,,,
41,1605587640.4745696,32800,-0.5404737591743469,0.0,-0.4448873698711395,0.0005897743394598365,-0.09617618471384048,,,,,,,,
42,1605587640.8135676,33600,-0.3647376596927643,0.0,-0.2714468240737915,0.002931731753051281,-0.09622258692979813,,,,,,,,
43,1605587641.0851173,34400,1.4952173233032227,0.0,1.5226483345031738,0.06880442798137665,-0.09623542428016663,,,,,,,,
44,1605587641.3517396,35200,-1.2201544046401978,0.0,-1.1896045207977295,0.06555335968732834,-0.09610313922166824,,,,,,,,
45,1605587641.6511838,36000,1.4116328954696655,0.0,1.4924201965332031,0.015155226923525333,-0.09594249725341797,,,,,,,,
46,1605587641.949535,36800,6.353226184844971,0.0,5.93025016784668,0.5190576910972595,-0.09608180075883865,,,,,,,,
47,1605587642.1459646,37600,-8.039100646972656,0.0,-8.027779579162598,0.0849606841802597,-0.0962812677025795,,,,,,,,
48,1605587642.248283,38400,-0.7213903665542603,0.0,-0.6318997740745544,0.006784936413168907,-0.09627553075551987,,,,,,,,
