# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1605671814.377973,0,4.830451965332031,0.06052427738904953,4.808871746063232,0.1183384507894516,-0.09675848484039307,-0.02666667103767395,0.14054009318351746,-0.047941382974386215,0.006026270799338818,0.0,4.039999961853027,0.06455922871828079,7.0
1,1605671814.6518688,800,6.456673622131348,0.04034952074289322,6.183969974517822,0.3674219250679016,-0.09471847862005234,0.01799999549984932,0.21670937538146973,-0.04794149845838547,0.009894858114421368,0.5423898696899414,3.6666667461395264,0.045191459357738495,7.0
2,1605671814.9429219,1600,1.000206470489502,0.03644472733139992,0.690356433391571,0.39981406927108765,-0.08996405452489853,-0.041333332657814026,0.04832001030445099,-0.047941841185092926,0.004630098585039377,0.0,3.8466668128967285,0.051647383719682693,7.0
3,1605671815.4115493,2400,-1.4575316905975342,0.04034951701760292,-1.894619107246399,0.522002100944519,-0.08491469919681549,0.02199999988079071,0.1256127953529358,-0.04794216901063919,0.004860204178839922,0.6025881767272949,3.5199999809265137,0.019367769360542297,7.0
4,1605671815.5708928,3200,-1.8387680053710938,0.023910826072096825,-2.423882484436035,0.6600844860076904,-0.07497004419565201,-0.04866667091846466,-0.028309203684329987,-0.04794225096702576,0.0016057563479989767,0.0,3.6133334636688232,0.045191459357738495,7.0
5,1605671815.7270756,4000,1.440638780593872,0.015131069347262383,0.9098027944564819,0.6007182002067566,-0.06988216191530228,0.03866666182875633,0.15898685157299042,-0.04794187843799591,0.006756805814802647,0.48269975185394287,4.353333473205566,0.051647383719682693,7.0
6,1605671816.0765665,4800,-6.559820175170898,0.010412778705358505,-7.387202262878418,0.8883453607559204,-0.06096335127949715,0.029999997466802597,0.15475855767726898,-0.04794229939579964,0.009589985944330692,0.35028377175331116,5.400000095367432,0.032279614359140396,7.0
7,1605671816.3794246,5600,9.970032691955566,0.0,8.256046295166016,1.7665764093399048,-0.05259024724364281,0.001999996602535248,0.13875770568847656,-0.0479426383972168,0.015008984133601189,0.25034570693969727,8.360000610351562,0.019367769360542297,7.0
8,1605671816.57913,6400,-4.945936679840088,0.016626596450805664,-5.849104404449463,0.9455848932266235,-0.04241699352860451,-0.03933333978056908,-0.0896456316113472,-0.04794273152947426,0.003134125145152211,0.21116392314434052,5.579999923706055,0.006455922964960337,7.0
9,1605671816.7123044,7200,3.621556043624878,0.0,2.72880220413208,0.9329880475997925,-0.040234435349702835,-0.012666672468185425,0.09938269853591919,-0.047942809760570526,0.01573951542377472,0.2831336259841919,10.766667366027832,0.00609641894698143,7.0
10,1605671817.5246925,8000,0.5690614581108093,0.0,-0.7796739935874939,1.3903357982635498,-0.041600365191698074,-0.046666666865348816,-0.12101680785417557,-0.047943115234375,0.013719826005399227,0.1042989045381546,11.619999885559082,0.0,7.0
11,1605671817.7765477,8800,3.69215726852417,0.016504133120179176,1.0057331323623657,2.7276549339294434,-0.041230786591768265,,,,,,,,
12,1605671818.1659317,9600,-0.6383055448532104,0.023924561217427254,-3.5322492122650146,2.940789222717285,-0.04684554785490036,0.021999996155500412,0.14339475333690643,-0.04794254153966904,0.02316981367766857,0.14827273786067963,18.02666664123535,0.01711157150566578,7.0
13,1605671818.3158782,10400,10.82691478729248,0.01015121303498745,9.21784782409668,1.6687846183776855,-0.059718575328588486,,,,,,,,
14,1605671818.586702,11200,-10.096381187438965,0.0,-12.358525276184082,2.3094992637634277,-0.047355037182569504,-0.025333337485790253,-0.0660598874092102,-0.04794212058186531,0.017847362905740738,0.1909283697605133,7.566667079925537,0.012490358203649521,7.0
15,1605671819.171647,12000,13.154873847961426,0.0,11.156244277954102,2.041285991668701,-0.04265688359737396,-0.06666667014360428,-0.27773112058639526,-0.04794241487979889,0.009557334706187248,0.15195730328559875,10.553333282470703,0.0,7.0
16,1605671819.604711,12800,-3.470952033996582,0.007658251095563173,-5.392520904541016,1.9717350006103516,-0.05016608536243439,,,,,,,,
17,1605671820.1058087,13600,11.895125389099121,0.016160961240530014,9.042498588562012,2.9051802158355713,-0.052553631365299225,-0.012666668742895126,0.01609204150736332,-0.04794251173734665,0.01895696297287941,0.23661570250988007,7.026666641235352,0.00464600557461381,7.0
18,1605671820.6457138,14400,-9.812003135681152,0.009063361212611198,-12.127846717834473,2.373617172241211,-0.05777371674776077,-0.04466667026281357,-0.10647231340408325,-0.04794220253825188,0.014398572035133839,0.1913250833749771,9.09333324432373,0.016838843002915382,7.0
19,1605671820.879689,15200,2.5983505249023438,0.013714626431465149,2.024453639984131,0.6406171917915344,-0.06672027707099915,-0.052000001072883606,-0.11787323653697968,-0.04794221371412277,0.011990036815404892,0.11193250119686127,8.380000114440918,0.01237878855317831,7.0
20,1605671821.3105671,16000,5.598758220672607,0.008003209717571735,3.863741397857666,1.795443058013916,-0.060426440089941025,-0.06599999964237213,-0.14481273293495178,-0.04794192314147949,0.009052888490259647,0.18438567221164703,6.626667022705078,0.006455922964960337,7.0
21,1605671821.7918465,16800,-8.340811729431152,0.01362160500138998,-9.946290969848633,1.6606030464172363,-0.055123262107372284,,,,,,,,
22,1605671822.379699,17600,10.875816345214844,0.00968549121171236,9.178479194641113,1.7437633275985718,-0.046426158398389816,-0.03866666927933693,0.008258931338787079,-0.04794131591916084,0.015342089347541332,0.15753306448459625,9.739999771118164,0.012168043293058872,7.0
23,1605671822.6149497,18400,1.4405676126480103,0.036268483847379684,-2.234856605529785,3.7304251194000244,-0.05500088259577751,,,,,,,,
24,1605671823.2846959,19200,-7.531851768493652,0.0,-8.417440414428711,0.9340615272521973,-0.04847291111946106,-0.004000004380941391,0.14487500488758087,-0.04794164001941681,0.022654611617326736,0.1882755011320114,12.046667098999023,0.024187326431274414,7.0
25,1605671823.7636392,20000,9.944249153137207,0.0,8.414129257202148,1.5811914205551147,-0.05107104033231735,-0.0533333346247673,-0.11511172354221344,-0.047940943390131,0.011566177941858768,0.16503030061721802,9.753334045410156,0.0,7.0
26,1605671824.3937974,20800,-6.763128280639648,0.008077718317508698,-8.614187240600586,1.9009380340576172,-0.04987895488739014,,,,,,,,
27,1605671824.684919,21600,6.504960536956787,0.01348923146724701,4.445224761962891,2.0937366485595703,-0.03400084748864174,-0.052666667848825455,-0.08796489238739014,-0.04794113710522652,0.010927166789770126,0.20511707663536072,7.74666690826416,0.005600551143288612,7.0
28,1605671824.861083,22400,-2.431751251220703,0.009572314098477364,-4.559350967407227,2.1616623401641846,-0.03406263142824173,-0.052666667848825455,-0.10300977528095245,-0.04794108122587204,0.011869928799569607,0.12499310821294785,8.573333740234375,0.005935261957347393,7.0
29,1605671825.123865,23200,0.04551422968506813,0.0,-0.5450962781906128,0.6232939958572388,-0.032683487981557846,,,,,,,,
30,1605671825.427776,24000,4.533446311950684,0.02924242615699768,3.160170078277588,1.4093217849731445,-0.03604574128985405,-0.012000002898275852,0.11544005572795868,-0.047941017895936966,0.020671432837843895,0.2611377537250519,10.65333366394043,0.012217631563544273,7.0
31,1605671825.779364,24800,1.0710269212722778,0.011870523914694786,-0.9176883697509766,2.029330253601074,-0.04061494767665863,,,,,,,,
32,1605671826.2882054,25600,1.5182868242263794,0.0,-0.42986172437667847,1.9987876415252686,-0.05063905566930771,-0.004666668828576803,0.11713549494743347,-0.047940563410520554,0.021818380802869797,0.17554958164691925,11.520000457763672,0.017657024785876274,7.0
33,1605671826.6434608,26400,1.4508157968521118,0.0,-0.8563514947891235,2.3551125526428223,-0.04794522374868393,-0.046666666865348816,-0.14911198616027832,-0.04793974757194519,0.012740541249513626,0.12164601683616638,12.119999885559082,0.0,7.0
34,1605671826.9668665,27200,12.527501106262207,0.041576605290174484,10.33853530883789,2.252446174621582,-0.06348023563623428,,,,,,,,
35,1605671827.2233355,28000,-10.05191421508789,0.0,-11.605047225952148,1.6059622764587402,-0.052830204367637634,-0.011333336122334003,0.057051826268434525,-0.047939348965883255,0.02058391086757183,0.17718595266342163,10.380000114440918,0.018016530200839043,7.0
36,1605671827.6935532,28800,1.297529697418213,0.0,0.8864355087280273,0.4740585386753082,-0.06296426057815552,,,,,,,,
37,1605671827.8710198,29600,1.7377212047576904,0.0,1.1005984544754028,0.6963930130004883,-0.05927027389407158,-0.02666667103767395,-0.05503004789352417,-0.04793872311711311,0.0174751877784729,0.17624381184577942,11.600000381469727,0.0,7.0
38,1605671828.1444857,30400,3.1446104049682617,0.01381522137671709,2.482173442840576,0.7257556915283203,-0.06331880390644073,,,,,,,,
39,1605671828.3688416,31200,5.628216743469238,0.030622543767094612,4.0849809646606445,1.5957508087158203,-0.05251498520374298,-0.04466667026281357,-0.12050799280405045,-0.04793804511427879,0.013858160004019737,0.17800414562225342,12.793334007263184,0.018623966723680496,7.0
40,1605671828.615691,32000,-4.549805641174316,0.01093138288706541,-5.667362213134766,1.1753789186477661,-0.05782225355505943,,,,,,,,
41,1605671829.1685388,32800,0.049637675285339355,0.008245037868618965,-0.4620244801044464,0.5817461609840393,-0.07008400559425354,-0.019333338364958763,0.025235867127776146,-0.04793822765350342,0.018805842846632004,0.2300110161304474,9.90666675567627,0.0055385674349963665,7.0
42,1605671829.4003963,33600,-1.0323482751846313,0.0,-1.4460912942886353,0.4740869104862213,-0.06034389138221741,-0.07266666740179062,-0.22496266663074493,-0.04793735221028328,0.007556967902928591,0.1314738243818283,10.566666603088379,0.006431129761040211,7.0
43,1605671829.6180568,34400,10.643308639526367,0.010743801482021809,9.014819145202637,1.6884758472442627,-0.05998651310801506,,,,,,,,
44,1605671829.855028,35200,-7.918065071105957,0.012187130749225616,-10.062844276428223,2.2003235816955566,-0.055544205009937286,-0.018666669726371765,0.07813238352537155,-0.0479382686316967,0.01909603551030159,0.21426033973693848,11.173333168029785,0.011746557429432869,7.0
45,1605671830.3002582,36000,4.870240211486816,0.009964215569198132,2.7209413051605225,2.2089362144470215,-0.05963686853647232,-0.052000001072883606,-0.13843722641468048,-0.04793722927570343,0.012141793966293335,0.1310027539730072,8.860000610351562,0.012130854651331902,7.0
46,1605671830.5037363,36800,-3.2923619747161865,0.0,-4.002275466918945,0.7517763376235962,-0.041862763464450836,,,,,,,,
